,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 15:17:00,3.0955852e-07,5.556205e-06,0,0
2024-05-14 15:18:00,3.6729227e-07,5.727762e-06,0,0
2024-05-14 15:19:00,4.2764063e-07,5.9490326e-06,0,0
2024-05-14 15:20:00,5.0762935e-07,6.2456384e-06,0,0
2024-05-14 15:21:00,6.5635925e-07,6.770954e-06,0,0
2024-05-14 15:22:00,7.528215e-07,7.2667885e-06,0,0
2024-05-14 15:23:00,7.9768176e-07,7.5743296e-06,0,0
2024-05-14 15:24:00,8.849794e-07,7.976033e-06,0,0
2024-05-14 15:25:00,9.793915e-07,8.547071e-06,0,0
2024-05-14 15:26:00,1.0694041e-06,9.159838e-06,0,0
2024-05-14 15:27:00,1.0991962e-06,9.574876e-06,0,0
2024-05-14 15:28:00,1.0551959e-06,9.678518e-06,0,0
2024-05-14 15:29:00,1.0041482e-06,9.582718e-06,0,0
2024-05-14 15:30:00,9.825868e-07,9.579631e-06,0,0
2024-05-14 15:31:00,9.4356704e-07,9.468265e-06,0,0
2024-05-14 15:32:00,9.022174e-07,9.337115e-06,0,0
2024-05-14 15:33:00,8.394011e-07,9.1285165e-06,0,0
2024-05-14 15:34:00,7.7256794e-07,8.846206e-06,0,0
2024-05-14 15:35:00,7.043526e-07,8.546346e-06,0,0
2024-05-14 15:36:00,6.431341e-07,8.249695e-06,0,0
2024-05-14 15:37:00,5.878871e-07,7.9679685e-06,0,0
2024-05-14 15:38:00,5.386422e-07,7.714113e-06,0,0
2024-05-14 15:39:00,4.923008e-07,7.467018e-06,0,0
2024-05-14 15:40:00,4.5022367e-07,7.263047e-06,0,0
2024-05-14 15:41:00,4.2060364e-07,7.124784e-06,0,0
2024-05-14 15:42:00,3.9313895e-07,6.98971e-06,0,0
2024-05-14 15:43:00,3.745298e-07,6.827494e-06,0,0
2024-05-14 15:44:00,3.5524022e-07,6.694131e-06,0,0
2024-05-14 15:45:00,3.3648342e-07,6.561647e-06,0,0
2024-05-14 15:46:00,3.1240907e-07,6.406833e-06,0,0
